的	7837898
不	1994261
是	1957360
了	1867173
我	1825245
一	1781128
有	1387310
在	1325196
第	851079
个	849079
和	845969
你	818260
人	715305
上	666555
就	645196
年	570154
到	564361
为	532313
他	518535
也	518358
都	515358
会	480155
没	472517
最	471302
要	467635
中	462604
与	416905
章	414727
月	408845
这	398745
下	397255
大	383193
之	382164
对	375293
着	337707
好	329378
本	328467
无	326710
说	325310
日	312541
网	305029
地	302518
新	297486
很	288361
能	283808
点	281721
去	280062
小	277355
她	269313
市	267653
等	253828
让	253025
看	249390
来	248614
而	243564
元	234535
将	231452
被	230362
想	227988
还	221867
那	216317
多	212637
时	212581
于	207925
用	206440
给	205906
又	205656
里	205622
得	201964
可	200741
区	197195
爱	195657
但	194560
过	194558
把	193593
后	190349
次	187099
从	182709
所	181681
及	178250
家	176419
做	176366
机	176036
您	172494
三	172158
性	169501
前	169190
者	166438
真	163207
器	162744
以	162738
起	161915
高	158495
路	158485
二	153449
并	153306
张	152215
或	152074
吧	149183
再	147619
更	146677
啊	144889
版	143759
该	143652
车	138643
几	129685
只	128033
号	125067
两	124535
出	124515
天	122526
总	118877
却	118838
种	117583
县	113610
已	113595
站	112684
同	110262
王	108982
吗	108710
分	107782
请	107727
条	107300
呢	107139
省	106522
话	104520
四	104256
它	103974
万	103187
楼	101405
样	100556
李	99690
图	99484
成	98828
当	98554
才	98292
比	97543
部	95756
心	95499
名	94014
如	92696
其	92129
房	91483
走	90165
向	89540
期	88775
们	88396
由	88370
周	87472
书	86418
化	86102
太	84681
学	84052
事	83850
谁	83645
系	83639
吃	83017
打	82865
室	81848
内	81821
加	77518
带	77084
道	76433
水	76226
找	75661
长	75631
发	75455
线	75239
五	75107
节	74815
老	74719
女	74560
全	74352
页	73183
生	72861
师	71965
类	70748
力	69626
跟	69573
国	69538
位	69045
些	68548
陈	68080
刘	67973
买	67875
员	66502
报	66024
岁	65188
商	65001
开	64304
美	63978
品	63942
像	63096
各	62732
少	61611
片	61328
法	61087
型	60920
局	60686
共	59806
店	59750
关	59457
至	59373
金	58265
使	57812
写	57650
卡	57628
听	56914
行	56263
钱	55999
山	55981
六	55717
子	55577
台	55470
此	55442
场	55403
手	55318
式	55079
先	54500
正	54457
错	53493
米	53333
每	53258
快	53052
厂	53041
花	52912
叫	52622
击	52556
村	52363
越	51711
问	51708
处	51475
镇	51377
住	51360
股	50693
度	50250
见	50039
数	50036
强	50019
件	49679
门	49250
则	48913
文	48877
非	48737
外	48680
城	48531
回	48290
自	48259
知	48173
集	48166
低	47966
率	47643
字	47207
级	47050
林	46920
男	46786
七	46719
头	46577
风	46530
按	46405
身	46344
证	46289
十	46256
读	46091
间	46054
表	45287
应	45106
杨	44974
佳	44757
双	44717
曾	44683
别	44430
便	44196
价	44174
啦	43898
首	43616
因	43180
变	43162
玩	43105
哪	42986
死	42971
论	42684
卷	42629
未	42176
连	42117
断	42006
段	41906
量	41849
黄	41813
送	41586
社	41471
何	41281
库	41144
空	40532
款	40296
八	40201
篇	40178
方	40163
病	40100
受	39985
口	39926
超	39555
白	39208
难	39176
副	38801
坐	38772
儿	38624
热	38499
班	38311
笑	38160
称	38092
队	37877
园	37861
组	37606
进	37470
院	37068
龙	36541
红	36180
拿	35861
放	35655
半	35635
街	35587
感	35564
算	35347
短	35318
业	35146
讲	34712
单	34551
主	34537
近	34402
面	34316
情	33772
帮	33727
若	33704
神	33656
套	33496
马	33439
留	33386
厅	33361
梦	33313
脸	33167
币	32811
声	32649
榜	32636
转	32434
包	32359
代	32333
作	32061
怕	31924
完	31767
光	31569
馆	31503
赵	31406
经	31400
收	31385
歌	31367
黑	31323
另	31318
东	31301
原	31078
办	31049
份	30999
通	30799
即	30736
穿	30411
换	30275
既	30228
板	30222
哦	30099
吴	30070
接	30053
管	30049
电	29879
群	29787
明	29780
物	29706
干	29669
华	29499
九	29364
刚	29333
拉	29219
海	29154
重	29096
费	29084
达	29067
深	29038
座	29024
差	29001
层	28986
相	28858
拍	28821
某	28815
传	28798
仅	28416
眼	28334
流	28228
西	28193
票	28133
满	28090
飞	28071
易	27843
星	27725
较	27725
值	27636
权	27521
信	27224
军	27196
石	27142
左	26745
团	26693
约	26617
仪	26485
敢	26387
球	26380
届	26352
边	26298
云	26158
需	26155
么	26125
乐	25827
远	25662
现	25651
尽	25574
供	25504
呀	25502
倒	25476
望	25394
狗	25369
早	25346
块	25331
装	25244
意	25112
北	25050
安	25043
亿	24981
贴	24957
色	24951
赛	24950
入	24823
定	24756
均	24658
步	24640
游	24524
清	24512
魔	24495
记	24378
指	24302
杯	24280
工	24268
词	24151
离	24103
教	24100
南	24050
求	23876
胡	23845
卖	23808
气	23736
谈	23587
油	23569
够	23568
孙	23477
阿	23451
初	23214
桥	23179
改	23169
圈	23163
限	23088
乡	23021
平	22861
叶	22823
停	22688
动	22610
史	22592
语	22531
徐	22479
宝	22420
选	22381
属	22353
奖	22277
足	22273
哭	22220
毛	22195
战	22157
体	22053
夜	22003
喝	21654
仍	21494
常	21475
罗	21400
句	21269
久	21206
江	21195
评	21107
跑	21098
雨	21031
床	20997
科	20948
余	20930
观	20910
火	20900
令	20753
苏	20693
剂	20586
剧	20552
郭	20543
舞	20419
犬	20413
顶	20392
许	20371
噶	20363
帖	20238
药	20104
掉	20026
雷	20011
任	20004
晚	20004
克	19978
朱	19975
痛	19919
落	19896
友	19669
设	19665
考	19642
博	19625
猫	19555
雪	19499
占	19424
极	19369
课	19246
制	19145
牛	19128
蓝	19113
活	19058
睡	19048
箱	18984
静	18960
秀	18944
端	18880
搞	18836
千	18831
靠	18824
卫	18817
反	18799
懂	18799
树	18754
距	18733
往	18547
鱼	18518
杀	18485
欲	18336
派	18322
香	18301
冷	18284
忙	18226
韩	18223
酒	18195
且	18194
古	18153
唐	18086
州	18082
题	18009
照	17918
项	17843
备	17840
百	17817
盒	17522
冲	17517
画	17508
陪	17506
含	17493
建	17462
德	17425
亦	17405
甘	17386
著	17383
据	17368
特	17288
公	17276
唱	17255
交	17180
菜	17172
剑	17161
党	17116
血	17071
兽	17068
唔	17031
英	16903
翻	16856
言	16811
宁	16784
茶	16771
乱	16760
弄	16687
孔	16663
丝	16603
鞋	16570
利	16540
伤	16463
盘	16416
愿	16391
售	16363
谢	16333
般	16270
京	16195
直	16158
族	16151
免	16128
彩	16099
宋	16043
获	16032
累	16004
忘	15980
岛	15975
灯	15966
青	15930
阵	15880
绝	15844
似	15843
营	15839
轮	15815
湖	15809
服	15760
田	15752
港	15721
源	15716
曲	15660
界	15589
刀	15575
河	15562
解	15505
怪	15486
提	15483
准	15448
合	15423
峰	15421
思	15418
梁	15418
精	15401
破	15395
夹	15359
轻	15317
朝	15297
防	15257
抱	15254
理	15251
挺	15221
世	15171
坏	15124
木	15114
影	15060
微	15012
郑	14986
待	14979
春	14885
玉	14874
旧	14862
鬼	14856
仙	14847
季	14843
哈	14729
齐	14673
挂	14644
背	14624
案	14598
排	14592
纸	14571
志	14545
招	14418
夏	14400
民	14382
屏	14361
牌	14347
奈	14339
形	14311
折	14245
推	14242
立	14176
波	14154
素	14110
刻	14041
笔	13977
猪	13907
良	13907
秦	13886
症	13882
味	13871
架	13810
贵	13810
试	13790
皮	13765
例	13741
然	13727
取	13715
跳	13702
铁	13655
计	13552
银	13498
急	13481
讯	13461
嘛	13435
炎	13360
钢	13322
竟	13242
果	13241
象	13178
升	13150
众	13109
粉	13067
奥	13053
亮	12992
码	12985
配	12961
胜	12954
庄	12946
税	12901
堂	12892
降	12870
展	12840
倍	12831
视	12813
亚	12801
农	12762
戴	12738
宇	12720
保	12693
抓	12667
范	12660
诗	12642
莫	12632
食	12632
啥	12629
汤	12616
脚	12607
假	12606
宫	12571
今	12545
野	12529
抗	12524
缘	12503
曹	12460
压	12432
随	12416
寺	12407
吨	12403
秒	12403
草	12376
武	12375
洗	12374
苦	12361
除	12349
养	12334
丁	12305
妈	12288
角	12249
官	12206
忍	12201
整	12194
君	12191
泪	12180
广	12145
零	12135
甲	12131
创	12054
灵	12039
净	12021
根	12020
校	11977
温	11956
独	11942
货	11938
觉	11915
遭	11906
修	11895
肉	11874
质	11851
烟	11841
蔡	11841
梅	11821
居	11794
杜	11776
藏	11741
封	11698
宏	11697
键	11667
户	11659
术	11622
饭	11596
钟	11541
剩	11531
恨	11520
冰	11503
投	11454
绿	11431
助	11424
兵	11390
顾	11342
